Date,Visitor/Neutral,PTS,Home/Neutral,,Visitor_PTS,Home_PTS,Month,Season,Recent Wins (Home),Recent Losses (Home),Recent Win % (Home),Recent Wins (Visitor),Recent Losses (Visitor),Recent Win % (Visitor),Matchup Wins (Home),Matchup Wins (Visitor),Total Matchups,DSLG (Visitor),DSLG (Home),Wins (Home),Losses (Home),Wins (Visitor),Losses (Visitor)
Tue Oct 18 2022,Philadelphia 76ers,126,Boston Celtics,,117,126,october,2022-2023,3,2,60.0,3,2,60.0,3,1,4,173.0,176.0,89,61,97,54
Tue Oct 18 2022,Los Angeles Lakers,123,Golden State Warriors,,109,123,october,2022-2023,2,3,40.0,3,2,60.0,1,3,4,191.0,174.0,88,62,69,76
Wed Oct 19 2022,Orlando Magic,113,Detroit Pistons,,109,113,october,2022-2023,3,2,60.0,1,4,20.0,2,2,4,192.0,192.0,42,103,41,104
Wed Oct 19 2022,Washington Wizards,107,Indiana Pacers,,114,107,october,2022-2023,3,2,60.0,4,1,80.0,2,2,4,192.0,192.0,54,90,64,81
Wed Oct 19 2022,Houston Rockets,117,Atlanta Hawks,,107,117,october,2022-2023,3,2,60.0,2,3,40.0,1,1,2,192.0,176.0,80,73,36,109
Wed Oct 19 2022,New Orleans Pelicans,108,Brooklyn Nets,,130,108,october,2022-2023,2,3,40.0,2,3,40.0,1,1,2,174.0,177.0,88,63,68,85
Wed Oct 19 2022,New York Knicks,115,Memphis Grizzlies,OT,112,115,october,2022-2023,3,2,60.0,2,3,40.0,2,0,2,192.0,173.0,92,58,72,73
Wed Oct 19 2022,Chicago Bulls,108,Miami Heat,,116,108,october,2022-2023,2,3,40.0,3,2,60.0,1,3,4,175.0,176.0,90,60,73,77
Wed Oct 19 2022,Cleveland Cavaliers,108,Toronto Raptors,,105,108,october,2022-2023,2,3,40.0,3,2,60.0,3,1,4,187.0,174.0,76,75,65,82
Wed Oct 19 2022,Oklahoma City Thunder,115,Minnesota Timberwolves,,108,115,october,2022-2023,2,3,40.0,3,2,60.0,4,1,5,192.0,173.0,69,84,45,100
Wed Oct 19 2022,Charlotte Hornets,102,San Antonio Spurs,,129,102,october,2022-2023,4,1,80.0,3,2,60.0,0,2,2,189.0,189.0,65,80,73,72
Wed Oct 19 2022,Denver Nuggets,123,Utah Jazz,,102,123,october,2022-2023,2,3,40.0,3,2,60.0,2,2,4,175.0,174.0,96,55,91,59
Wed Oct 19 2022,Dallas Mavericks,107,Phoenix Suns,,105,107,october,2022-2023,3,2,60.0,3,2,60.0,2,2,4,174.0,174.0,113,38,91,59
Wed Oct 19 2022,Portland Trail Blazers,108,Sacramento Kings,,115,108,october,2022-2023,3,2,60.0,4,1,80.0,3,1,4,192.0,192.0,56,89,62,83
Thu Oct 20 2022,Milwaukee Bucks,88,Philadelphia 76ers,,90,88,october,2022-2023,4,1,80.0,2,3,40.0,2,2,4,176.0,2.0,97,55,94,56
Thu Oct 20 2022,Los Angeles Clippers,97,Los Angeles Lakers,,103,97,october,2022-2023,4,1,80.0,1,4,20.0,0,4,4,188.0,2.0,69,77,85,63
