Date,Visitor/Neutral,PTS,Home/Neutral,,Visitor_PTS,Home_PTS,Month,Season,Recent Wins (Home),Recent Losses (Home),Recent Win % (Home),Recent Wins (Visitor),Recent Losses (Visitor),Recent Win % (Visitor),Matchup Wins (Home),Matchup Wins (Visitor),Total Matchups,DSLG (Visitor),DSLG (Home),Wins (Home),Losses (Home),Wins (Visitor),Losses (Visitor)
Tue Oct 19 2021,Brooklyn Nets,127,Milwaukee Bucks,,104,127,october,2021-2022,4,1,80.0,2,3,40.0,3,1,4,172.0,172.0,39,24,43,21
Tue Oct 19 2021,Golden State Warriors,114,Los Angeles Lakers,,121,114,october,2021-2022,4,1,80.0,2,3,40.0,1,3,4,173.0,172.0,36,27,31,32
Wed Oct 20 2021,Indiana Pacers,123,Charlotte Hornets,,122,123,october,2021-2022,2,3,40.0,1,4,20.0,4,0,4,174.0,175.0,30,32,29,33
Wed Oct 20 2021,Chicago Bulls,88,Detroit Pistons,,94,88,october,2021-2022,3,2,60.0,3,2,60.0,0,4,4,173.0,174.0,19,44,26,37
Wed Oct 20 2021,Boston Celtics,138,New York Knicks,2OT,134,138,october,2021-2022,0,5,0.0,2,3,40.0,2,2,4,173.0,175.0,35,28,34,30
Wed Oct 20 2021,Washington Wizards,83,Toronto Raptors,,98,83,october,2021-2022,2,3,40.0,2,3,40.0,3,1,4,173.0,174.0,26,37,29,34
Wed Oct 20 2021,Cleveland Cavaliers,132,Memphis Grizzlies,,121,132,october,2021-2022,3,2,60.0,3,2,60.0,2,0,2,173.0,173.0,32,30,21,42
Wed Oct 20 2021,Houston Rockets,124,Minnesota Timberwolves,,106,124,october,2021-2022,3,2,60.0,1,4,20.0,3,0,3,174.0,174.0,20,44,16,47
Wed Oct 20 2021,Philadelphia 76ers,97,New Orleans Pelicans,,117,97,october,2021-2022,3,2,60.0,2,3,40.0,0,2,2,173.0,174.0,28,35,42,21
Wed Oct 20 2021,Orlando Magic,123,San Antonio Spurs,,97,123,october,2021-2022,4,1,80.0,2,3,40.0,2,0,2,173.0,173.0,31,31,19,44
